P_PV,P_Load,P_deferrable0,P_deferrable1,P_grid,cost_fun
2021-07-30 15:00:00+02:00,2383.4382767907277,484.752,0.0,0.0,-1898.6863,-0.0524469167
2021-07-30 15:30:00+02:00,1823.662065862024,451.296,0.0,0.0,-1372.3661,-0.04571736523600001
2021-07-30 16:00:00+02:00,1293.2973194006377,1022.1523529411764,0.0,0.0,-271.14497,0.08086915552705883
2021-07-30 16:30:00+02:00,1229.3617422319187,689.8345635673625,0.0,0.0,-539.52718,0.031402502010787474
2021-07-30 17:00:00+02:00,1139.8690261032,357.51677419354843,0.0,0.0,-782.35225,-0.016402937405483868
2021-07-30 17:30:00+02:00,1105.0321194658188,312.47636363636366,0.0,0.0,-792.55576,-0.005769584763636357
2021-07-30 18:00:00+02:00,1025.4459042720052,105.05515151515154,0.0,0.0,-920.39075,-0.04444532456818182
2021-07-30 18:30:00+02:00,681.2202129566226,106.9475,0.0,0.0,-574.27271,-0.021670612149999994
2021-07-30 19:00:00+02:00,402.0929059083674,319.9506666666667,0.0,0.0,-82.142239,0.041501532065
2021-07-30 19:30:00+02:00,243.37833085921164,461.694,0.0,0.0,218.31567,0.0675920016
2021-07-30 20:00:00+02:00,98.88641725823784,496.763,0.0,0.0,397.87658,0.0727261032
2021-07-30 20:30:00+02:00,-1.5,408.8283333333333,3000.0,0.0,3410.3283,0.3284712893716667
2021-07-30 21:00:00+02:00,-1.5,441.2296666666667,3000.0,750.0,4192.7297,0.4038626994503334
2021-07-30 21:30:00+02:00,-1.5,371.3616666666667,3000.0,750.0,4122.8617,0.39713028883833335
2021-07-30 22:00:00+02:00,-1.5,431.52333333333337,3000.0,750.0,4183.0233,0.40292740687666667
2021-07-30 22:30:00+02:00,-1.5,363.54633333333334,3000.0,750.0,4115.0463,0.39637721113366675
2021-07-30 23:00:00+02:00,-1.5,394.6763333333334,0.0,750.0,1146.1763,0.11029986680366666
2021-07-30 23:30:00+02:00,-1.5,404.098,0.0,750.0,1155.598,0.11120772918199999
2021-07-31 00:00:00+02:00,-1.5,330.6476666666667,0.0,750.0,1082.1477,0.10413012851233334
2021-07-31 00:30:00+02:00,-1.5,327.31,0.0,750.0,1078.81,0.10380851428999999
2021-07-31 01:00:00+02:00,-1.5,315.9273333333333,0.0,0.0,317.42733,0.030442441912666665
2021-07-31 01:30:00+02:00,-1.5,245.57266666666666,0.0,0.0,247.07267,0.023663136587333333
2021-07-31 02:00:00+02:00,-1.5,258.10333333333335,0.0,0.0,259.60333,0.024870579096666668
2021-07-31 02:30:00+02:00,-1.5,349.123,0.0,0.0,350.623,0.033641143157
2021-07-31 03:00:00+02:00,-1.5,305.8953333333333,0.0,0.0,307.39533,0.044783076799999995
2021-07-31 03:30:00+02:00,-1.5,281.915,0.0,0.0,283.415,0.041272356
2021-07-31 04:00:00+02:00,-1.5,295.492,0.0,0.0,296.992,0.0432600288
2021-07-31 04:30:00+02:00,-1.5,252.80033333333333,0.0,0.0,254.30033,0.0370099688
2021-07-31 05:00:00+02:00,-1.5,224.86733333333333,0.0,0.0,226.36733,0.0329205776
2021-07-31 05:30:00+02:00,-1.5,272.57800000000003,0.0,0.0,274.078,0.03990541920000001
2021-07-31 06:00:00+02:00,-1.5,270.02933333333334,0.0,0.0,271.52933,0.03953229440000001
2021-07-31 06:30:00+02:00,-1.5,278.555,0.0,0.0,280.055,0.040780452
2021-07-31 07:00:00+02:00,34.09011325578465,315.8,0.0,0.0,281.70989,0.04623312
2021-07-31 07:30:00+02:00,230.15145120266865,346.3763333333333,0.0,0.0,116.22488,0.0507094952
2021-07-31 08:00:00+02:00,346.20266906777874,397.76500000000004,0.0,0.0,51.562331,0.05823279600000001
2021-07-31 08:30:00+02:00,533.2942822103088,305.02633333333335,0.0,0.0,-228.26795,0.029818438450000005
2021-07-31 09:00:00+02:00,793.3135619532887,349.51533333333333,0.0,0.0,-443.79823,0.02232215985
2021-07-31 09:30:00+02:00,1086.6710236621516,346.5848387096774,0.0,0.0,-740.08618,0.002634418687096768
2021-07-31 10:00:00+02:00,1409.3376380769594,328.19466666666665,0.0,0.0,-1081.143,-0.02222659580000002
2021-07-31 10:30:00+02:00,1643.4343370441277,342.91866666666664,0.0,0.0,-1300.5157,-0.0343302277
2021-07-31 11:00:00+02:00,1816.499018731028,235.87133333333335,0.0,0.0,-1580.6277,-0.0682092373
2021-07-31 11:30:00+02:00,1858.3415415891677,826.0217142857143,0.0,0.0,-1032.3198,0.05382879197142859
2021-07-31 12:00:00+02:00,1827.740677451711,1044.6492105263158,0.0,0.0,-783.09147,0.10203569887105263
2021-07-31 12:30:00+02:00,1733.8187769385397,1289.1847368421052,0.0,0.0,-444.63404,0.1598354328736842
2021-07-31 13:00:00+02:00,1593.594763365633,837.2560780984719,0.0,0.0,-756.33869,0.07341227498361629
2021-07-31 13:30:00+02:00,1605.588615345638,385.3274193548387,0.0,0.0,-1220.2612,-0.022905043806451614
2021-07-31 14:00:00+02:00,1593.5248921429477,342.02099999999996,0.0,0.0,-1251.5039,-0.0312758791
2021-07-31 14:30:00+02:00,1573.9921555687113,422.76741935483875,0.0,0.0,-1151.2247,-0.012936455306451614
